X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,county,school_name,LSTREET1,LSTREET2,city,state,LZIP,LZIP4,PHONE,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,CNTY,TOTFRL,FRELCH,REDLCH,DIRECTCERT,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS_,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,lat,lon,school_type,PPIN,STREET,ZIP,STFIP,LOCALE,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-84.0894,33.9994,23877,130022704031.0,2022-2023,GA,1300227.0,GA-7820412,State Charter Schools- Georgia Connections Academy,Georgia Connections Academy,2763 Meadow Church Rd Ste 208,,Duluth,GA,30097.0,    ,(678)825-3258,Full Virtual,KG,12,Other,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,2523.0,1974.0,549.0,1144.0,,229.0,187.0,188.0,188.0,203.0,276.0,510.0,691.0,911.0,890.0,922.0,655.0,523.0,,,,3071.0,3302.0,6373.0,6373.0,172.699996948242,36.9,24.0,24.0,48.0,84.0,67.0,151.0,1310.0,1318.0,2628.0,12.0,13.0,25.0,137.0,157.0,294.0,261.0,284.0,545.0,1243.0,1439.0,2682.0,33.9994,-84.0894,Charter,,,,,,,,,,,,,,
-84.220627999,33.940232,23892,130024204249.0,2022-2023,GA,1300242.0,GA-7830613,State Charter Schools II- Brookhaven Innovation Academy,Brookhaven Innovation Academy,186 Hunter St,,Norcross,GA,30071.0,    ,(770)538-1550,Not Virtual,KG,08,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,125.0,100.0,25.0,60.0,,58.0,67.0,84.0,65.0,61.0,52.0,39.0,42.0,33.0,,,,,,,,268.0,233.0,501.0,501.0,37.5,13.36,0.0,0.0,0.0,15.0,7.0,22.0,118.0,94.0,212.0,0.0,0.0,0.0,67.0,67.0,134.0,22.0,27.0,49.0,46.0,38.0,84.0,33.940232,-84.220628,Charter,,,,,,,,,,,,,,
-84.2282480009999,33.969340001,23900,130025004325.0,2022-2023,GA,1300250.0,GA-7830620,State Charter Schools II- International Charter Academy of,International Charter Academy of Georgia,3705 Engineering Dr,,Peachtree Corners,GA,30092.0,    ,(770)604-0007,Not Virtual,KG,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,4.0,4.0,0.0,3.0,,44.0,49.0,24.0,33.0,30.0,20.0,,,,,,,,,,,94.0,106.0,200.0,200.0,15.1999998092651,13.16,0.0,0.0,0.0,38.0,39.0,77.0,9.0,22.0,31.0,2.0,0.0,2.0,12.0,9.0,21.0,21.0,32.0,53.0,12.0,4.0,16.0,33.96934,-84.228248,Charter,,,,,,,,,,,,,,
-84.170745,34.018875,23909,130025704372.0,2022-2023,GA,1300257.0,GA-7830625,State Charter Schools II- Yi Hwang Academy of Language Exce,Yi Hwang Academy of Language Excellence,4550 RiverGreen Parkway - Suit,e 100,Duluth,GA,30096.0,    ,(404)623-0003,Not Virtual,KG,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,21.0,17.0,4.0,3.0,,89.0,59.0,48.0,53.0,31.0,21.0,,,,,,,,,,,152.0,149.0,301.0,301.0,24.6000003814697,12.24,0.0,1.0,1.0,95.0,92.0,187.0,12.0,15.0,27.0,0.0,0.0,0.0,13.0,10.0,23.0,27.0,24.0,51.0,5.0,7.0,12.0,34.018875,-84.170745,Charter,,,,,,,,,,,,,,
-83.989961001,34.1180370000001,24029,130060000274.0,2022-2023,GA,1300600.0,GA-764,Buford City,Buford High School,2455 Buford Hwy,,Buford,GA,30518.0,    ,(770)945-6768,Not Virtual,09,12,High,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,552.0,458.0,94.0,171.0,,,,,,,,,,,521.0,483.0,453.0,389.0,,,,974.0,872.0,1846.0,1846.0,106.199996948242,17.38,2.0,1.0,3.0,59.0,65.0,124.0,159.0,97.0,256.0,0.0,0.0,0.0,251.0,245.0,496.0,47.0,40.0,87.0,456.0,424.0,880.0,34.118037,-83.989961,Public,,,,,,,,,,,,,,
-83.9958,34.1348,24030,130060000275.0,2022-2023,GA,1300600.0,GA-764,Buford City,Buford Elementary School,2500 Sawnee Ave,,Buford,GA,30518.0,    ,(770)945-5248,Not Virtual,PK,KG,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,127.0,108.0,19.0,51.0,12.0,390.0,,,,,,,,,,,,,,,,190.0,212.0,402.0,402.0,31.8999996185303,12.6,0.0,0.0,0.0,19.0,17.0,36.0,19.0,15.0,34.0,0.0,1.0,1.0,51.0,60.0,111.0,11.0,11.0,22.0,90.0,108.0,198.0,34.1348,-83.9958,Public,,,,,,,,,,,,,,
-83.986619,34.132754,24031,130060000276.0,2022-2023,GA,1300600.0,GA-764,Buford City,Buford Middle School,2750 Sawnee Ave,,Buford,GA,30518.0,    ,(770)904-3690,Not Virtual,06,08,Middle,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,466.0,405.0,61.0,167.0,,,,,,,,492.0,462.0,472.0,,,,,,,,697.0,729.0,1426.0,1426.0,82.0999984741211,17.37,0.0,0.0,0.0,60.0,56.0,116.0,76.0,72.0,148.0,0.0,0.0,0.0,203.0,206.0,409.0,35.0,41.0,76.0,323.0,354.0,677.0,34.132754,-83.986619,Public,,,,,,,,,,,,,,
-83.9915999999999,34.129600001,24032,130060002345.0,2022-2023,GA,1300600.0,GA-764,Buford City,Buford Academy,2705 Robert Bell Pkwy,,Buford,GA,30518.0,    ,(678)482-6960,Not Virtual,01,03,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,412.0,346.0,66.0,145.0,,,435.0,429.0,433.0,,,,,,,,,,,,,696.0,601.0,1297.0,1297.0,89.1999969482422,14.54,1.0,2.0,3.0,66.0,58.0,124.0,64.0,58.0,122.0,0.0,0.0,0.0,179.0,157.0,336.0,49.0,37.0,86.0,337.0,289.0,626.0,34.1296,-83.9916,Public,,,,,,,,,,,,,,
-83.991191,34.127643,24033,130060004338.0,2022-2023,GA,1300600.0,GA-764,Buford City,Buford Senior Academy,2700 Robert Bell Pkwy,,Buford,GA,30518.0,    ,(678)546-0414,Not Virtual,04,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,282.0,234.0,48.0,96.0,,,,,,422.0,454.0,,,,,,,,,,,456.0,420.0,876.0,876.0,49.4000015258789,17.73,0.0,0.0,0.0,50.0,33.0,83.0,51.0,45.0,96.0,0.0,0.0,0.0,118.0,107.0,225.0,18.0,24.0,42.0,219.0,211.0,430.0,34.127643,-83.991191,Public,,,,,,,,,,,,,,
-84.0228999999999,34.0178000010001,25096,130255000046.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Walnut Grove Elementary School,75 Taylor Rd,,Suwanee,GA,30024.0,    ,(770)513-6892,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,363.0,292.0,71.0,54.0,36.0,102.0,129.0,122.0,115.0,130.0,117.0,,,,,,,,,,,379.0,372.0,751.0,751.0,60.7999992370605,12.35,0.0,0.0,0.0,45.0,53.0,98.0,100.0,89.0,189.0,1.0,0.0,1.0,106.0,124.0,230.0,26.0,24.0,50.0,101.0,82.0,183.0,34.0178,-84.0229,Public,,,,,,,,,,,,,,
-84.0182,33.9025,25097,130255000272.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Craig Elementary School,1075 Rocky Rd,,Lawrenceville,GA,30044.0,    ,(770)978-5560,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,387.0,293.0,94.0,49.0,26.0,128.0,167.0,199.0,190.0,186.0,191.0,,,,,,,,,,,537.0,550.0,1087.0,1087.0,83.0,13.1,1.0,1.0,2.0,84.0,93.0,177.0,171.0,162.0,333.0,1.0,2.0,3.0,101.0,105.0,206.0,39.0,27.0,66.0,140.0,160.0,300.0,33.9025,-84.0182,Public,,,,,,,,,,,,,,
-84.1991,33.8761000000001,25098,130255000296.0,2022-2023,GA,1302550.0,GA-667,Gwinnett County,Nesbit Elementary School,6575 Cherokee Dr,,Tucker,GA,30084.0,    ,(770)414-2740,Not Virtual,PK,05,Elementary,1.0,Regular School,Currently operational ,21-Suburb: Large,Gwinnett County,13135,1065.0,945.0,120.0,150.0,57.0,210.0,194.0,190.0,193.0,184.0,178.0,,,,,,,,,,,632.0,574.0,1206.0,1206.0,94.9000015258789,12.71,1.0,3.0,4.0,25.0,12.0,37.0,96.0,92.0,188.0,0.0,0.0,0.0,482.0,447.0,929.0,11.0,6.0,17.0,17.0,14.0,31.0,33.8761,-84.1991,Public,,,,,,,,,,,,,,
