school_name,school_type,grades_served,address,city,state,zip_code,website_url,phone,latitude,longitude,setting,enrollment_count,student_teacher_ratio,enrollment_prek,enrollment_k,enrollment_1,enrollment_2,enrollment_3,enrollment_4,enrollment_5,enrollment_6,enrollment_7,enrollment_8,enrollment_9,enrollment_10,enrollment_11,enrollment_12,district,district_id,math_proficiency_pct,reading_proficiency_pct,state_percentile_rank,disadvantaged_pct,minority_enrollment_pct,white_pct,black_pct,hispanic_pct,asian_pct,multiracial_pct,full_time_teachers,certified_teachers_pct,counselors_count,source,source_url
Simpson Elementary School,Public,PK-5,4525 E Jones Bridge Rd,Peachtree Corners,GA,30092,,7704172400,33.998473,-84.229275,large suburb,926,12,30.0,152.0,137.0,156.0,142.0,159.0,150.0,,,,,,,,Gwinnett County School District,106134.0,83.0,88.0,99.36,19.0,39.0,61.0,13.6,9.9,9.4,5.8,75,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/simpson-elementary-school-223330
Level Creek Elementary School,Public,PK-5,4488 Tench Rd,Suwanee,GA,30024,,7709047950,34.0708,-84.0712,large suburb,1077,15,5.0,117.0,135.0,194.0,196.0,215.0,215.0,,,,,,,,Gwinnett County School District,106134.0,86.0,85.0,99.28,16.0,59.0,41.3,9.2,9.6,33.1,6.6,74,98.0,2.0,US News,https://www.usnews.com/education/k12/georgia/level-creek-elementary-school-218127
Riverside Elementary School,Public,PK-5,5445 Settles Bridge Rd,Suwanee,GA,30024,,6784821000,34.0937,-84.097,large suburb,963,14,7.0,121.0,128.0,155.0,186.0,163.0,203.0,,,,,,,,Gwinnett County School District,106134.0,83.0,81.0,98.15,23.0,65.0,35.1,10.5,8.4,40.7,5.2,67,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/riverside-elementary-school-222311
Puckett's Mill Elementary School,Public,PK-5,2442 S Pucketts Mill Rd,Dacula,GA,30019,http://puckettsmill.org/home.html,6787655110,34.064813,-83.932499,large suburb,749,13,10.0,105.0,112.0,112.0,129.0,151.0,130.0,,,,,,,,Gwinnett County School District,106134.0,80.0,75.0,97.18,32.0,52.0,47.5,18.3,13.6,13.0,7.3,59,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/puckett-s-mill-elementary-school-221854
Roberts Elementary School,Public,PK-5,251 Highway 23 Ne,Suwanee,GA,30024,,6787452370,34.072591,-84.051091,large suburb,1003,15,20.0,117.0,159.0,122.0,182.0,187.0,216.0,,,,,,,,Gwinnett County School District,106134.0,81.0,74.0,97.1,28.0,73.0,26.6,14.0,8.4,44.6,6.3,66,96.0,1.0,US News,https://www.usnews.com/education/k12/georgia/roberts-elementary-school-222386
White Oak Elementary School,Public,PK-5,6442 Suwanee Dam Rd,Sugar Hill,GA,30518,,6785465550,34.146162,-84.066336,large suburb,709,12,16.0,94.0,121.0,115.0,115.0,112.0,136.0,,,,,,,,Gwinnett County School District,106134.0,72.0,73.0,95.74,36.0,53.0,47.4,15.9,19.6,10.4,6.2,60,97.0,1.0,US News,https://www.usnews.com/education/k12/georgia/white-oak-elementary-school-225553
Suwanee Elementary School,Public,PK-5,3875 Smithtown Rd,Suwanee,GA,30024,,7709455763,34.0487,-84.0548,large suburb,651,13,16.0,77.0,90.0,109.0,115.0,123.0,121.0,,,,,,,,Gwinnett County School District,106134.0,72.0,74.0,95.49,33.0,71.0,29.0,13.8,11.8,37.0,8.0,51,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/suwanee-elementary-school-224088
Gwin Oaks Elementary School,Public,PK-5,400 Gwin Oaks Dr,Lawrenceville,GA,30044,,7709723110,33.8956,-84.074,large suburb,1056,14,26.0,143.0,170.0,167.0,179.0,187.0,184.0,,,,,,,,Gwinnett County School District,106134.0,74.0,69.0,95.17,48.0,76.0,24.0,24.1,22.0,23.2,6.3,76,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/gwin-oaks-elementary-school-215725
Ivy Creek Elementary School,Public,PK-5,3443 Ridge Rd,Buford,GA,30519,,6787143655,34.0971,-83.9364,large suburb,1559,15,32.0,213.0,229.0,271.0,272.0,282.0,260.0,,,,,,,,Gwinnett County School District,106134.0,75.0,68.0,95.09,42.0,69.0,30.7,19.9,20.3,23.2,5.5,104,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/ivy-creek-elementary-school-216801
Parsons Elementary School,Public,PK-5,1615 Old Peachtree Rd Nw,Suwanee,GA,30024,,6789573050,34.0137,-84.091,large suburb,874,13,38.0,124.0,141.0,143.0,155.0,146.0,127.0,,,,,,,,Gwinnett County School District,106134.0,70.0,70.0,94.53,40.0,87.0,12.9,22.5,12.5,46.2,5.6,70,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/parsons-elementary-school-220802
Brookwood Elementary School,Public,PK-5,1330 Holly Brook Rd,Snellville,GA,30078,http://brookwoodelementary.com/home.htm,7707364360,33.8806,-84.0421,large suburb,1477,14,2.0,211.0,223.0,242.0,232.0,257.0,310.0,,,,,,,,Gwinnett County School District,106134.0,70.0,67.0,94.05,47.0,78.0,21.9,34.6,17.3,19.3,6.2,102,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/brookwood-elementary-school-211756
Dyer Elementary School,Public,PK-5,1707 Hurricane Shoals Rd,Dacula,GA,30019,,7709636214,33.9968,-83.9373,large suburb,963,13,44.0,128.0,142.0,147.0,144.0,167.0,191.0,,,,,,,,Gwinnett County School District,106134.0,72.0,65.0,93.97,60.0,78.0,21.6,36.8,23.9,11.4,6.0,72,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/dyer-elementary-school-213866
Craig Elementary School,Public,PK-5,1075 Rocky Rd,Lawrenceville,GA,30044,,7709785560,33.9025,-84.0182,large suburb,1084,13,36.0,133.0,141.0,169.0,199.0,201.0,205.0,,,,,,,,Gwinnett County School District,106134.0,68.0,66.0,93.48,48.0,73.0,26.7,30.4,20.5,16.0,5.8,84,99.0,0.0,US News,https://www.usnews.com/education/k12/georgia/craig-elementary-school-213152
Head Elementary School,Public,PK-5,1801 Hewatt Rd Sw,Lilburn,GA,30047,,7709728050,33.8543,-84.0649,large suburb,738,13,10.0,95.0,124.0,109.0,142.0,121.0,137.0,,,,,,,,Gwinnett County School District,106134.0,72.0,62.0,93.4,48.0,72.0,28.3,26.8,19.8,16.5,8.0,56,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/head-elementary-school-216034
Pharr Elementary School,Public,PK-5,1500 North Rd,Snellville,GA,30078,,7709850244,33.8906,-84.0055,large suburb,807,12,52.0,114.0,124.0,143.0,127.0,116.0,131.0,,,,,,,,Gwinnett County School District,106134.0,65.0,65.0,92.36,66.0,85.0,14.9,39.0,31.2,10.3,4.1,68,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/pharr-elementary-school-220988
Trip Elementary School,Public,PK-5,841 Cooper Rd,Grayson,GA,30017,http://www.gwinnett.k12.ga.us/TripES/,6786393850,33.872227,-83.960764,large suburb,1415,15,5.0,182.0,214.0,255.0,251.0,247.0,261.0,,,,,,,,Gwinnett County School District,106134.0,66.0,64.0,92.28,62.0,90.0,10.4,61.1,14.8,7.1,6.0,96,99.0,1.0,US News,https://www.usnews.com/education/k12/georgia/trip-elementary-school-224524
Camp Creek Elementary School,Public,PK-5,958 Cole Rd Sw,Lilburn,GA,30047,,7709211626,33.8612,-84.1163,large suburb,1447,14,45.0,252.0,225.0,218.0,227.0,228.0,252.0,,,,,,,,Gwinnett County School District,106134.0,67.0,63.0,92.12,49.0,70.0,30.1,22.0,23.1,19.1,5.3,100,100.0,2.0,US News,https://www.usnews.com/education/k12/georgia/camp-creek-elementary-school-212034
Freeman's Mill Elementary School,Public,PK-5,2303 Old Peachtree Rd,Lawrenceville,GA,30043,,6783778955,34.0305,-83.9389,large suburb,1019,13,4.0,137.0,168.0,157.0,201.0,173.0,179.0,,,,,,,,Gwinnett County School District,106134.0,67.0,63.0,92.12,56.0,73.0,27.3,27.6,22.0,16.0,7.0,76,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/freeman-s-mill-elementary-school-215033
Fort Daniel Elementary School,Public,PK-5,1725 Auburn Rd,Dacula,GA,30019,,7709327400,34.0446,-83.924,large suburb,697,12,31.0,97.0,119.0,112.0,98.0,112.0,128.0,,,,,,,,Gwinnett County School District,106134.0,66.0,61.0,91.23,51.0,71.0,28.8,23.4,24.2,14.8,8.8,59,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/fort-daniel-elementary-school-214846
Mountain Park Elementary School,Public,PK-5,1500 Pounds Rd Sw,Lilburn,GA,30047,,7709212224,33.8402,-84.1151,large suburb,628,13,25.0,94.0,110.0,94.0,96.0,98.0,111.0,,,,,,,,Gwinnett County School District,106134.0,65.0,57.0,89.62,67.0,79.0,21.3,27.2,25.2,18.8,6.8,50,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/mountain-park-elementary-school-219677
Burnette Elementary School,Public,PK-5,3221 Mcginnis Ferry Road,Suwanee,GA,30024,,6785462170,34.0316,-84.0622,large suburb,700,13,16.0,99.0,110.0,110.0,128.0,118.0,119.0,,,,,,,,Gwinnett County School District,106134.0,63.0,60.0,89.54,46.0,81.0,19.1,29.1,20.0,24.0,7.4,53,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/burnette-elementary-school-211885
Woodward Mill Elementary School,Public,PK-5,2020 Buford Dr,Lawrenceville,GA,30043,,6784077590,34.025192,-83.988073,large suburb,1041,13,31.0,163.0,171.0,166.0,170.0,175.0,165.0,,,,,,,,Gwinnett County School District,106134.0,62.0,56.0,88.66,61.0,74.0,26.1,22.5,32.9,12.3,6.1,78,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/woodward-mill-elementary-school-226022
Duncan Creek Elementary,Public,PK-5,4500 Braselton Hwy,Hoschton,GA,30548,,6787145800,34.0758,-83.8716,large suburb,1569,16,14.0,221.0,247.0,243.0,282.0,263.0,299.0,,,,,,,,Gwinnett County School District,106134.0,62.0,63.0,88.42,44.0,65.0,34.9,24.2,15.4,20.0,5.2,101,99.0,2.0,US News,https://www.usnews.com/education/k12/georgia/duncan-creek-elementary-213829
Walnut Grove Elementary School,Public,PK-5,75 Taylor Rd,Suwanee,GA,30024,,7705136892,34.0178,-84.0229,large suburb,810,12,36.0,107.0,120.0,147.0,132.0,130.0,138.0,,,,,,,,Gwinnett County School District,106134.0,63.0,54.0,88.33,57.0,77.0,23.5,24.9,32.1,12.6,6.9,65,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/walnut-grove-elementary-school-225016
Taylor Elementary School,Public,PK-5,600 Taylor School Dr,Lawrenceville,GA,30043,,7703384680,34.0104,-83.9958,large suburb,866,12,6.0,113.0,155.0,151.0,145.0,145.0,151.0,,,,,,,,Gwinnett County School District,106134.0,54.0,61.0,88.09,63.0,79.0,20.6,30.3,31.3,9.9,7.4,70,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/taylor-elementary-school-224198
Mulberry Elementary School,Public,PK-5,442 E Union Grove Cir,Auburn,GA,30011,,6782267460,34.0316,-83.8633,fringe rural,753,13,46.0,108.0,120.0,100.0,122.0,124.0,133.0,,,,,,,,Gwinnett County School District,106134.0,58.0,56.0,87.69,55.0,73.0,27.5,37.3,22.2,6.4,6.5,58,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/mulberry-elementary-school-219733
Rock Springs Elementary School,Public,PK-5,888 Rock Springs Rd,Lawrenceville,GA,30043,,7709327474,34.0499,-84.0068,large suburb,765,12,18.0,130.0,135.0,122.0,109.0,135.0,116.0,,,,,,,,Gwinnett County School District,106134.0,60.0,54.0,87.61,61.0,82.0,18.4,31.5,30.5,12.5,6.5,63,98.0,1.0,US News,https://www.usnews.com/education/k12/georgia/rock-springs-elementary-school-222435
Grayson Elementary School,Public,PK-5,460 Grayson Pkwy,Grayson,GA,30017,,7709637189,33.8919,-83.957,large suburb,1051,13,2.0,178.0,167.0,153.0,160.0,212.0,179.0,,,,,,,,Gwinnett County School District,106134.0,57.0,56.0,87.29,57.0,84.0,16.4,51.7,17.5,8.5,5.6,79,100.0,1.0,US News,https://www.usnews.com/education/k12/georgia/grayson-elementary-school-215559
